ibgeID;Municipio;ESPVIDA;E_ANOSESTUDO;T_ANALF18M;RDPC;IDHM
1502004;CACHOEIRA DO ARARI;71,65;7,07;14,64;209,79;0,546
1502103;CAMETÁ;70,21;8,58;11,43;226,99;0,577
1502152;CANAÃ DOS CARAJÁS;73,06;9,35;10,65;517,33;0,673
1502202;CAPANEMA;72,62;9,6;14,87;356,27;0,655
1502301;CAPITÃO POÇO;69,8;7,93;26,2;283,1;0,548
1502400;CASTANHAL;72,97;9,91;8,39;467,32;0,673
1502509;CHAVES;71,15;4,95;28,92;198,83;0,453
1502608;COLARES;70,8;9,5;11,36;231,98;0,602
1502707;CONCEIÇÃO DO ARAGUAIA;71,2;9,31;15,51;405,29;0,64
1502756;CONCÓRDIA DO PARÁ;69,45;7,89;22,24;260,68;0,566
1502764;CUMARU DO NORTE;72,71;6,97;26,19;417,06;0,55
1502772;CURIONÓPOLIS;73,53;9,43;19,71;319,35;0,636
1502806;CURRALINHO;71,15;7,05;23,32;188,88;0,502
1502855;CURUÁ;71,8;8,94;15,77;180,94;0,578
1502905;CURUÇÁ;70,48;8,16;11,73;233,96;0,582
1502939;DOM ELISEU;70,8;8,46;19,23;348,04;0,615
1502954;ELDORADO DOS CARAJÁS;70,42;7,99;23,21;281,12;0,56
1503002;FARO;70,35;8,1;11,68;180,47;0,563
1503044;FLORESTA DO ARAGUAIA;72,52;7,98;20,37;283,57;0,583
1503077;GARRAFÃO DO NORTE;70,75;7;33,1;229,91;0,526
1503093;GOIANÉSIA DO PARÁ;69,58;7,3;24,42;303,9;0,56
1503101;GURUPÁ;71,59;6,23;27,26;191,06;0,509
1503200;IGARAPÉ-AÇU;69,55;8,47;16,87;293,71;0,595
1503309;IGARAPÉ-MIRI;71,18;7,27;20,56;196,34;0,547
1503408;INHANGAPI;69,88;8,27;17;245,7;0,572
1503457;IPIXUNA DO PARÁ;70,44;6,21;24,57;188,48;0,489
1503507;IRITUIA;70,75;8,19;21,43;224,25;0,559
1503606;ITAITUBA;72,97;8,6;15,13;440,6;0,64
1503705;ITUPIRANGA;69,73;7,08;25,13;234,25;0,528
1503754;JACAREACANGA;73;5,91;29,01;289,16;0,505
1503804;JACUNDÁ;70,14;8,09;17,37;399,45;0,622
1503903;JURUTI;70,35;9,03;9,75;241,39;0,592
1504000;LIMOEIRO DO AJURU;70,21;7,79;16,11;172,12;0,541
1504059;MÃE DO RIO;70,75;7,71;19,05;367,01;0,599
1504109;MAGALHÃES BARATA;73,06;8,66;11,56;208,43;0,597
1504208;MARABÁ;72,09;8,53;12,18;527,86;0,668
1504307;MARACANÃ;70,85;8,49;13,19;221,89;0,57
1504406;MARAPANIM;70,61;9,16;10,22;277,01;0,609
1504422;MARITUBA;72,6;9,2;5,03;382,02;0,676
1504455;MEDICILÂNDIA;72,99;7,81;20,02;345,44;0,582
1504505;MELGAÇO;71,57;5,51;39,7;135,21;0,418
1504604;MOCAJUBA;70,21;8,07;11,89;229,18;0,575
1504703;MOJU;70,44;7,26;20,36;291,67;0,547
1504802;MONTE ALEGRE;70,86;8,8;15,72;231,65;0,589
1504901;MUANÁ;71,51;7,8;14,15;230,14;0,547
1504950;NOVA ESPERANÇA DO PIRIÁ;70,44;6,53;28,61;160,34;0,502
1504976;NOVA IPIXUNA;70,98;7,73;23,91;315,1;0,581
1505007;NOVA TIMBOTEUA;72,43;8,72;21,55;267,59;0,609
1505031;NOVO PROGRESSO;74,66;8,52;9,66;658,31;0,673
1505064;NOVO REPARTIMENTO;69,48;6,82;22,35;256,37;0,537
1505106;ÓBIDOS;70,35;8,89;13,73;255,03;0,594
1505205;OEIRAS DO PARÁ;70,21;7,46;19,85;181,86;0,507
